state,locality_type,household_size,income_bracket,e-literacy_level,total_devices_owned,avg_device_age_years,broken_devices_stored,upgrade_tendency,disposal_method,recycling_awareness,ewaste_kg_per_year
Punjab,Urban,5,Low,Basic,11,5.3,0,Low,Formal E-Waste Collection,Low,1.25
Delhi,Urban,4,Middle,Basic,11,5.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.87
Gujarat,Rural,6,Low,Basic,6,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.54
Rajasthan,Urban,5,Low,Basic,7,7.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.65
Odisha,Rural,5,Upper-Middle,Basic,9,5.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.31
Tamil Nadu,Urban,6,Middle,Basic,11,5.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.68
Kerala,Urban,8,Low,Basic,11,5.2,2,Low,Stored Indefinitely,Low,0.0
Delhi,Rural,8,Low,Basic,4,7.2,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Rural,5,Middle,Basic,5,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.56
Madhya Pradesh,Urban,6,Middle,Intermediate,14,4.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.66
Punjab,Urban,4,High,Advanced,31,2.8,1,High,Gave away for reuse,High,18.2
Andhra Pradesh,Rural,4,High,Basic,27,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,6.71
Gujarat,Urban,4,High,Advanced,19,1.9,0,High,Formal E-Waste Collection,High,17.53
Odisha,Urban,4,Upper-Middle,Intermediate,17,3.1,0,Medium,Formal E-Waste Collection,Medium,5.57
Rajasthan,Urban,7,Low,Basic,11,5.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,5,Middle,Intermediate,15,3.6,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,4.12
Haryana,Urban,8,Low,Basic,8,6.0,3,Low,Thrown in General Trash,Low,0.0
Jharkhand,Urban,8,Low,Basic,9,7.1,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Andhra Pradesh,Rural,3,Upper-Middle,Basic,15,4.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.4
Odisha,Rural,3,Upper-Middle,Basic,9,4.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.36
Haryana,Rural,5,Low,Basic,4,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.45
Karnataka,Rural,5,Upper-Middle,Basic,12,4.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.4
Andhra Pradesh,Urban,4,Middle,Advanced,10,4.8,0,Medium,Formal E-Waste Collection,Medium,2.06
Telangana,Rural,6,Low,Basic,4,9.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
